Forest_NonForest,BGC,fieldcall,basemapunit,description,mapunit_ss_realm,mapunit_ss_association,mapunit_fnf,mapunit_nf
NonForest,,,Ag01,Timber oatgrass - Grouseberry - Sandwort,A,Ag,nonforest,Ag01
NonForest,,,Ag03,Timber oatgrass - Kinnikinnick,A,Ag,nonforest,Ag03
NonForest,,,Ah33,Alaskan & White mountain-heathers - Tufted hairgrass ,A,Ah,nonforest,Ah33
NonForest,,,Ah34,Yellow mountain-heather - Bog blueberry - Crowberry ,A,Ah,nonforest,Ah34
NonForest,,,Am,Alpine meadow,A,Am,nonforest,Am
NonForest,,,Am33,Arrow-leaved groundsel - Hellebore - Large-awned sedge,A,Am,nonforest,Am33
NonForest,,,Am34,Tufted hairgrass - Calder's lovage,A,Am,nonforest,Am34
NonForest,,,Bb01,American Searocket,B,Bb,nonforest,Bb01
NonForest,,,Bb02,Dune wildrye [Red fescue],B,Bb,nonforest,Bb02
NonForestSeral,,,Bb02$1,European beachgrass ,B,Bb,nonforest,Bb02$1
NonForest,,,Bb03,Large-headed sedge - Dune bluegrass,B,Bb,nonforest,Bb03
NonForest,BGxh1,BGxh1/101,BGxh1/101,,BGxh1/101,BGxh1/101,forest ,forest 
Forest,BGxh1,BGxh1/102,BGxh1/102,,BGxh1/102,BGxh1/102,forest ,forest 
Forest,BGxh1,BGxh1/103,BGxh1/103,,BGxh1/103,BGxh1/103,forest ,forest 
Forest,BGxh1,BGxh1/110,BGxh1/110,,BGxh1/110,BGxh1/110,forest ,forest 
NonForest,BGxh2,BGxh2/101,BGxh2/101,,BGxh2/101,BGxh2/101,forest ,forest 
Forest,BGxh2,BGxh2/102,BGxh2/102,,BGxh2/102,BGxh2/102,forest ,forest 
Forest,BGxh2,BGxh2/110,BGxh2/110,,BGxh2/110,BGxh2/110,forest ,forest 
NonForest,BGxh3,BGxh3/101,BGxh3/101,,BGxh3/101,BGxh3/101,forest ,forest 
Forest,BGxh3,BGxh3/110,BGxh3/110,,BGxh3/110,BGxh3/110,forest ,forest 
Forest,BGxh3,BGxh3/111,BGxh3/111,,BGxh3/111,BGxh3/111,forest ,forest 
Deciduous,BGxh3,BGxh3/112,BGxh3/112,,BGxh3/112,BGxh3/112,forest ,forest 
Deciduous,BGxh3,BGxh3/113,BGxh3/113,,BGxh3/113,BGxh3/113,forest ,forest 
Forest,BGxw1,BGxw1/101,BGxw1/101,,BGxw1/101,BGxw1/101,forest ,forest 
Forest,BGxw1,BGxw1/102,BGxw1/102,,BGxw1/102,BGxw1/102,forest ,forest 
Forest,BGxw1,BGxw1/110,BGxw1/110,,BGxw1/110,BGxw1/110,forest ,forest 
Forest,BGxw1,BGxw1/111,BGxw1/111,,BGxw1/111,BGxw1/111,forest ,forest 
NonForest,BGxw2,BGxw2/101,BGxw2/101,,BGxw2/101,BGxw2/101,forest ,forest 
NonForest,BGxw2,BGxw2/101a,BGxw2/101a,,BGxw2/101,BGxw2/101,forest ,forest 
NonForest,BGxw2,BGxw2/101b,BGxw2/101b,,BGxw2/101,BGxw2/101,forest ,forest 
NonForest,BGxw2,BGxw2/101c,BGxw2/101c,,BGxw2/101,BGxw2/101,forest ,forest 
Forest,BGxw2,BGxw2/110,BGxw2/110,,BGxw2/110,BGxw2/110,forest ,forest 
Forest,BGxw2,BGxw2/111,BGxw2/111,,BGxw2/111,BGxw2/111,forest ,forest 
Deciduous,BGxw2,BGxw2/112,BGxw2/112,,BGxw2/112,BGxw2/112,forest ,forest 
Forest,BGxw2,BGxw2/113,BGxw2/113,,BGxw2/113,BGxw2/113,forest ,forest 
Deciduous,BGxw2,BGxw2/114,BGxw2/114,,BGxw2/114,BGxw2/114,forest ,forest 
Deciduous,BGxw2,BGxw2/115,BGxw2/115,,BGxw2/115,BGxw2/115,forest ,forest 
Forest,BWBSdk,BWBSdk/101,BWBSdk/101,,BWBSdk/101,BWBSdk/101,forest ,forest 
Forest,BWBSdk,BWBSdk/101a,BWBSdk/101a,,BWBSdk/101,BWBSdk/101,forest ,forest 
Forest,BWBSdk,BWBSdk/101b,BWBSdk/101b,,BWBSdk/101,BWBSdk/101,forest ,forest 
Forest,BWBSdk,BWBSdk/102,BWBSdk/102,,BWBSdk/102,BWBSdk/102,forest ,forest 
Forest,BWBSdk,BWBSdk/103,BWBSdk/103,,BWBSdk/103,BWBSdk/103,forest ,forest 
Forest,BWBSdk,BWBSdk/104,BWBSdk/104,,BWBSdk/104,BWBSdk/104,forest ,forest 
Forest,BWBSdk,BWBSdk/104a,BWBSdk/104a,,BWBSdk/104,BWBSdk/104,forest ,forest 
Forest,BWBSdk,BWBSdk/104b,BWBSdk/104b,,BWBSdk/104,BWBSdk/104,forest ,forest 
Forest,BWBSdk,BWBSdk/110,BWBSdk/110,,BWBSdk/110,BWBSdk/110,forest ,forest 
Forest,BWBSdk,BWBSdk/111,BWBSdk/111,,BWBSdk/111,BWBSdk/111,forest ,forest 
Deciduous,BWBSdk,BWBSdk/112,BWBSdk/112,,BWBSdk/112,BWBSdk/112,forest ,forest 
Forest,BWBSmk,BWBSmk/101,BWBSmk/101,,BWBSmk/101,BWBSmk/101,forest ,forest 
Forest,BWBSmk,BWBSmk/102,BWBSmk/102,,BWBSmk/102,BWBSmk/102,forest ,forest 
Forest,BWBSmk,BWBSmk/103,BWBSmk/103,,BWBSmk/103,BWBSmk/103,forest ,forest 
Forest,BWBSmk,BWBSmk/104,BWBSmk/104,,BWBSmk/104,BWBSmk/104,forest ,forest 
Forest,BWBSmk,BWBSmk/104a,BWBSmk/104a,,BWBSmk/104,BWBSmk/104,forest ,forest 
Forest,BWBSmk,BWBSmk/104b,BWBSmk/104b,,BWBSmk/104,BWBSmk/104,forest ,forest 
Forest,BWBSmk,BWBSmk/110,BWBSmk/110,,BWBSmk/110,BWBSmk/110,forest ,forest 
Forest,BWBSmk,BWBSmk/111,BWBSmk/111,,BWBSmk/111,BWBSmk/111,forest ,forest 
Deciduous,BWBSmk,BWBSmk/112,BWBSmk/112,,BWBSmk/112,BWBSmk/112,forest ,forest 
Forest,BWBSmw,BWBSmw/101,BWBSmw/101,,BWBSmw/101,BWBSmw/101,forest ,forest 
